Agency Type,State,City,Crime Type,Victim Sex,Victim Age,Victim Race,Victim Ethnicity,Weapon,Victim Count,Perpetrator Count,Crime Solved,is_victim_age_missing
Municipal Police,Pennsylvania,Allegheny,Murder or Manslaughter,Male,38,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,32,Black,Not Hispanic,Firearm,0,0,No,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,34,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Georgia,Fulton,Murder or Manslaughter,Male,17,Black,Unknown,Unknown,0,0,Yes,False
Municipal Police,California,Los Angeles,Murder or Manslaughter,Male,53,Black,Not Hispanic,Handgun,0,0,No,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Male,40,Black,Unknown,Firearm,0,1,Yes,False
Municipal Police,California,San Joaquin,Murder or Manslaughter,Male,18,Black,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,Pennsylvania,Pennsylvania_othercity,Murder or Manslaughter,Male,2,Black,Not Hispanic,Drugs,0,0,Yes,True
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,27,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,29,White,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,California,California_othercity,Murder or Manslaughter,Male,54,White,Hispanic,Firearm,0,0,No,False
Municipal Police,Texas,Texas_othercity,Murder or Manslaughter,Female,30,White,Hispanic,Handgun,0,0,Yes,False
Municipal Police,Florida,Florida_othercity,Murder or Manslaughter,Male,25,Black,Unknown,Firearm,0,0,No,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Female,1,Black,Not Hispanic,Blunt Object,0,0,No,True
Sheriff,Indiana,Indiana_othercity,Murder or Manslaughter,Female,47,White,Not Hispanic,Knife,0,0,Yes,False
Municipal Police,California,California_othercity,Murder or Manslaughter,Male,36,White,Hispanic,Handgun,0,0,No,False
Municipal Police,Louisiana,East Baton Rouge,Murder or Manslaughter,Female,2,Black,Not Hispanic,Blunt Object,0,0,Yes,True
Municipal Police,Florida,Duval,Murder or Manslaughter,Male,21,White,Unknown,Unknown,0,0,Yes,False
Sheriff,Louisiana,Louisiana_othercity,Murder or Manslaughter,Female,48,White,Not Hispanic,Blunt Object,0,0,No,False
Municipal Police,Texas,Dallas,Murder or Manslaughter,Male,27,Black,Not Hispanic,Rifle,0,0,No,False
Municipal Police,Louisiana,Orleans,Murder or Manslaughter,Male,15,Black,Unknown,Firearm,0,0,No,False
State Police,New York,New York_othercity,Murder or Manslaughter,Female,44,White,Not Hispanic,Shotgun,0,0,Yes,False
Municipal Police,Iowa,Iowa_othercity,Murder or Manslaughter,Female,20,White,Unknown,Handgun,1,0,No,False
Municipal Police,Pennsylvania,Philadelphia,Murder or Manslaughter,Male,28,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Indiana,Indiana_othercity,Murder or Manslaughter,Male,45,Black,Unknown,Blunt Object,0,0,Yes,False
Municipal Police,Oklahoma,Oklahoma_othercity,Murder or Manslaughter,Female,37,White,Not Hispanic,Handgun,1,0,No,False
Municipal Police,Arkansas,Arkansas_othercity,Murder or Manslaughter,Male,19,Black,Unknown,Handgun,0,0,Yes,False
Municipal Police,Florida,Dade,Murder or Manslaughter,Female,19,Black,Unknown,Firearm,0,0,Yes,False
Sheriff,Kentucky,Kentucky_othercity,Murder or Manslaughter,Female,21,White,Unknown,Firearm,0,0,No,False
Municipal Police,Maryland,Baltimore city,Murder or Manslaughter,Male,31,Black,Not Hispanic,Handgun,0,0,No,False
Municipal Police,Michigan,Michigan_othercity,Murder or Manslaughter,Female,33,White,Unknown,Handgun,0,0,Yes,False
Sheriff,North Carolina,North Carolina_othercity,Murder or Manslaughter,Female,41,White,Unknown,Shotgun,0,0,Yes,False
Sheriff,Georgia,Georgia_othercity,Murder or Manslaughter,Male,56,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Arizona,Maricopa,Murder or Manslaughter,Female,16,White,Hispanic,Knife,0,0,Yes,False
County Police,Georgia,Georgia_othercity,Murder or Manslaughter,Male,21,Black,Not Hispanic,Handgun,0,0,Yes,False
Sheriff,Florida,Florida_othercity,Murder or Manslaughter,Female,52,White,Unknown,Unknown,0,0,Yes,False
Municipal Police,New York,New York,Murder or Manslaughter,Male,21,White,Hispanic,Knife,0,0,No,False
Municipal Police,California,Orange,Murder or Manslaughter,Female,78,White,Not Hispanic,Handgun,0,0,Yes,False
Municipal Police,Oklahoma,Oklahoma,Murder or Manslaughter,Female,20,White,Not Hispanic,Handgun,0,0,Yes,False
