Year,Month,NumCases
1980,1,1825
1980,2,1730
1980,3,1743
1980,4,1760
1980,5,1863
1980,6,1991
1980,7,2179
1980,8,2371
1980,9,1869
1980,10,1935
1980,11,1861
1980,12,1965
1981,1,1987
1981,2,1777
1981,3,1910
1981,4,1771
1981,5,1860
1981,6,1714
1981,7,1930
1981,8,1804
1981,9,1659
1981,10,1648
1981,11,1615
1981,12,1533
1982,1,1755
1982,2,1587
1982,3,1686
1982,4,1673
1982,5,1803
1982,6,1695
1982,7,1828
1982,8,1832
1982,9,1777
1982,10,1704
1982,11,1590
1982,12,1614
1983,1,1629
1983,2,1487
1983,3,1653
1983,4,1600
1983,5,1624
1983,6,1479
1983,7,1732
1983,8,1735
1983,9,1679
1983,10,1609
1983,11,1513
1983,12,1913
1984,1,1523
1984,2,1390
1984,3,1492
1984,4,1473
1984,5,1413
1984,6,1388
1984,7,1555
1984,8,1565
1984,9,1505
1984,10,1547
1984,11,1543
1984,12,1699
1985,1,1528
1985,2,1494
1985,3,1514
1985,4,1425
1985,5,1406
1985,6,1486
1985,7,1702
1985,8,1707
1985,9,1530
1985,10,1550
1985,11,1509
1985,12,1535
1986,1,1626
1986,2,1477
1986,3,1736
1986,4,1633
1986,5,1730
1986,6,1712
1986,7,1938
1986,8,1937
1986,9,1866
1986,10,1577
1986,11,1400
1986,12,1493
1987,1,1550
1987,2,1558
1987,3,1596
1987,4,1432
1987,5,1638
1987,6,1578
1987,7,1672
1987,8,1668
1987,9,1520
1987,10,1609
1987,11,1477
1987,12,1485
1988,1,1604
1988,2,1398
1988,3,1525
1988,4,1470
1988,5,1527
1988,6,1442
1988,7,1701
1988,8,1789
1988,9,1683
1988,10,1662
1988,11,1506
1988,12,1472
1989,1,1673
1989,2,1456
1989,3,1600
1989,4,1618
1989,5,1613
1989,6,1653
1989,7,1804
1989,8,1791
1989,9,1790
1989,10,1781
1989,11,1522
1989,12,1567
1990,1,1793
1990,2,1568
1990,3,1732
1990,4,1611
1990,5,1783
1990,6,1879
1990,7,2037
1990,8,1973
1990,9,1961
1990,10,1832
1990,11,1346
1990,12,1731
1991,1,1816
1991,2,1553
1991,3,1700
1991,4,1767
1991,5,1805
1991,6,1919
1991,7,2074
1991,8,2189
1991,9,1996
1991,10,1963
1991,11,1793
1991,12,2082
1992,1,1903
1992,2,1757
1992,3,1884
1992,4,1883
1992,5,1925
1992,6,1837
1992,7,2138
1992,8,2105
1992,9,1993
1992,10,1866
1992,11,1866
1992,12,2636
1993,1,2012
1993,2,1714
1993,3,1907
1993,4,1889
1993,5,1981
1993,6,2081
1993,7,2250
1993,8,2262
1993,9,2033
1993,10,2087
1993,11,1992
1993,12,2127
1994,1,1895
1994,2,1768
1994,3,2032
1994,4,1909
1994,5,1879
1994,6,1920
1994,7,2082
1994,8,2100
1994,9,1923
1994,10,1961
1994,11,1816
1994,12,1961
1995,1,1773
1995,2,1451
1995,3,1655
1995,4,1751
1995,5,1710
1995,6,1746
1995,7,1860
1995,8,2100
1995,9,1780
1995,10,1851
1995,11,1669
1995,12,1833
1996,1,1671
1996,2,1464
1996,3,1435
1996,4,1424
1996,5,1546
1996,6,1624
1996,7,1668
1996,8,1652
1996,9,1503
1996,10,1538
1996,11,1486
1996,12,1958
1997,1,1570
