Year,Month,NumCases,Relationship_Acquaintance,Relationship_Boyfriend,Relationship_Boyfriend/Girlfriend,Relationship_Brother,Relationship_Common-Law Husband,Relationship_Common-Law Wife,Relationship_Daughter,Relationship_Employee,Relationship_Employer,Relationship_Ex-Husband,Relationship_Ex-Wife,Relationship_Family,Relationship_Father,Relationship_Friend,Relationship_Girlfriend,Relationship_Husband,Relationship_In-Law,Relationship_Mother,Relationship_Neighbor,Relationship_Sister,Relationship_Son,Relationship_Stepdaughter,Relationship_Stepfather,Relationship_Stepmother,Relationship_Stepson,Relationship_Stranger,Relationship_Unknown,Relationship_Wife,Crime Solved_No,Crime Solved_Yes,Crime Type_Manslaughter by Negligence,Crime Type_Murder or Manslaughter,Victim Race_Asian/Pacific Islander,Victim Race_Black,Victim Race_Native American/Alaska Native,Victim Race_Unknown,Victim Race_White,Perpetrator Sex_Female,Perpetrator Sex_Male,Perpetrator Sex_Unknown,Weapon_Blunt Object,Weapon_Drowning,Weapon_Drugs,Weapon_Explosives,Weapon_Fall,Weapon_Fire,Weapon_Firearm,Weapon_Gun,Weapon_Handgun,Weapon_Knife,Weapon_Poison,Weapon_Rifle,Weapon_Shotgun,Weapon_Strangulation,Weapon_Suffocation,Weapon_Unknown,Victim Sex_Female,Victim Sex_Male,Victim Sex_Unknown,State_Alabama,State_Alaska,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Delaware,State_District of Columbia,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_Nevada,State_New Hampshire,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_Rhodes Island,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,Perpetrator Race_Asian/Pacific Islander,Perpetrator Race_Black,Perpetrator Race_Native American/Alaska Native,Perpetrator Race_Unknown,Perpetrator Race_White,Perpetrator Count,Victim Count
1980,1,1825,434,18,1,25,16,9,19,0,1,5,6,23,14,59,34,49,21,10,13,6,32,1,6,1,3,281,671,67,483,1342,24,1801,14,749,11,60,991,186,1156,483,165,5,2,3,0,27,50,3,923,302,0,92,150,28,13,62,410,1414,1,44,1,36,18,290,10,10,4,19,119,40,9,3,89,53,7,14,49,38,1,35,20,79,7,14,36,1,5,15,0,39,18,177,59,2,51,28,11,48,3,30,0,34,187,4,1,23,23,9,11,1,6,616,8,515,680,398,228
1980,2,1730,407,21,5,9,9,15,25,1,0,0,3,23,11,64,37,52,17,11,21,3,43,3,8,0,2,301,577,62,462,1268,20,1710,19,750,7,45,909,203,1065,462,180,2,2,1,2,24,51,2,809,307,0,89,128,34,9,90,379,1351,0,31,5,25,16,227,18,5,3,15,108,52,9,3,103,33,5,11,24,58,6,33,20,67,6,18,46,1,2,5,1,33,34,165,49,2,79,19,9,43,3,28,1,34,199,6,1,33,11,10,12,3,8,630,8,497,587,328,164
1980,3,1743,403,17,0,20,18,7,11,0,1,5,5,22,19,63,26,54,17,5,35,7,22,2,5,0,8,292,617,62,492,1251,27,1716,18,756,8,46,915,171,1080,492,173,1,0,0,0,26,73,3,816,337,1,84,141,34,9,45,406,1335,2,52,2,18,15,251,9,13,2,13,106,38,8,1,91,34,1,11,28,53,0,31,23,71,7,13,29,0,5,18,0,40,9,148,48,2,74,17,19,63,3,24,0,39,231,4,0,36,18,6,16,3,13,625,10,513,582,292,160
1980,4,1760,430,26,1,26,17,10,17,4,1,3,8,28,17,64,27,41,18,10,23,4,10,2,5,0,7,270,599,92,462,1298,16,1744,12,757,9,55,927,187,1111,462,169,8,1,0,1,33,64,2,843,319,3,86,138,32,6,55,418,1342,0,44,3,27,21,247,20,17,4,14,100,37,9,3,101,28,7,11,35,36,2,29,17,56,9,19,36,4,6,10,5,43,14,177,53,0,82,26,12,49,5,31,0,40,203,1,0,32,16,4,13,2,11,610,7,495,637,328,194
1980,5,1863,461,27,2,21,14,14,11,1,0,4,3,21,14,67,35,50,19,12,24,3,29,2,5,0,7,296,634,87,510,1353,26,1837,9,822,14,62,956,186,1167,510,206,4,0,2,5,27,61,1,890,331,3,101,141,34,8,49,432,1426,5,43,3,23,14,243,21,10,1,17,150,38,6,1,118,39,5,12,32,41,4,36,16,96,12,15,53,2,5,4,1,38,12,183,37,3,61,26,12,69,1,32,2,47,184,5,0,43,20,14,12,1,12,659,11,551,630,290,208
1980,6,1991,474,25,8,20,11,8,19,1,0,3,6,22,11,74,39,62,19,15,35,8,10,0,4,2,4,308,725,78,561,1430,31,1960,18,870,12,55,1036,202,1228,561,205,1,3,0,2,31,70,25,894,390,1,115,163,32,7,52,434,1550,7,36,6,20,21,333,18,10,2,10,131,44,9,2,109,33,2,21,29,55,2,36,18,65,12,19,37,1,8,13,2,55,6,179,47,0,70,41,12,72,4,36,0,46,223,4,0,33,26,18,13,2,13,685,9,594,690,359,168
1980,7,2179,553,33,8,26,14,11,26,1,0,5,7,35,13,96,37,67,27,14,56,4,18,4,4,0,6,327,707,80,522,1657,28,2151,16,927,16,48,1172,235,1422,522,224,6,0,3,2,21,89,4,1006,417,1,126,165,32,8,75,467,1711,1,51,7,21,19,338,13,14,4,13,130,50,6,0,126,41,10,11,36,49,1,44,17,91,11,15,49,5,7,19,4,51,14,196,70,0,80,31,17,89,3,40,0,51,227,4,0,54,24,12,9,5,7,788,13,560,811,464,208
1980,8,2371,577,27,2,26,15,14,12,1,2,4,6,35,17,94,38,53,23,12,37,3,32,6,6,0,3,401,853,72,630,1741,18,2353,16,1008,15,79,1253,232,1509,630,251,10,2,0,2,25,100,2,1079,465,0,137,174,43,11,70,461,1910,0,55,8,25,13,376,21,15,6,25,157,51,6,3,135,31,6,16,25,49,2,39,23,101,3,21,57,2,9,13,1,58,5,215,76,0,104,35,16,92,5,33,0,58,263,8,1,57,20,15,11,5,7,823,11,684,846,477,178
1980,9,1869,483,19,3,20,16,9,19,0,1,4,9,21,12,53,42,48,23,14,28,4,15,0,4,0,3,281,658,80,473,1396,29,1840,12,787,14,6,1050,186,1210,473,221,1,1,7,1,15,88,4,855,318,1,99,150,28,6,74,427,1441,1,31,0,25,25,329,16,10,7,18,145,20,9,4,113,27,7,21,43,37,4,36,17,76,12,27,59,6,6,13,3,44,3,36,65,0,88,28,6,83,4,22,1,43,204,5,0,52,14,11,9,5,5,635,10,483,736,361,190
1980,10,1935,449,30,7,12,11,11,22,1,0,3,4,26,17,64,24,56,22,8,16,1,17,0,9,4,2,305,752,62,561,1374,31,1904,12,840,17,63,1003,190,1184,561,217,5,1,4,0,17,88,0,892,361,2,98,146,41,8,55,384,1551,0,46,4,21,23,303,15,18,1,15,104,28,7,4,119,31,3,11,29,38,1,28,22,100,11,20,57,4,4,11,5,47,3,230,45,0,67,32,7,88,5,36,0,26,185,0,2,31,19,10,15,4,9,657,11,601,657,362,146
